Interface,Sequence Number,Arrival Time,Latency
121.128.92.46,428,1721294444.7142994,0.20535945892333984
121.128.92.46,429,1721294444.7477763,0.20507526397705078
121.128.92.46,430,1721294444.783108,0.20659494400024414
121.128.92.46,431,1721294444.82469,0.2146000862121582
121.128.92.46,432,1721294444.8565164,0.21281838417053223
121.128.92.46,433,1721294444.8856914,0.20871543884277344
121.128.92.46,434,1721294444.9157522,0.20502424240112305
121.128.92.46,435,1721294444.9492366,0.20485353469848633
121.128.92.46,436,1721294444.983017,0.20487403869628906
121.128.92.46,437,1721294445.0168576,0.20506763458251953
121.128.92.46,438,1721294445.050163,0.20460104942321777
121.128.92.46,439,1721294445.084335,0.20513415336608887
121.128.92.46,440,1721294445.1182907,0.20539355278015137
121.128.92.46,441,1721294445.1513698,0.20491385459899902
121.128.92.46,442,1721294445.1872213,0.20706534385681152
121.128.92.46,443,1721294445.2186522,0.20492935180664062
121.128.92.46,444,1721294445.2526588,0.20527195930480957
121.128.92.46,445,1721294445.2866151,0.20541715621948242
121.128.92.46,446,1721294445.3206296,0.20572853088378906
121.128.92.46,447,1721294445.3535252,0.20496821403503418
121.128.92.46,448,1721294445.387372,0.20499801635742188
121.128.92.46,449,1721294445.4221992,0.20606613159179688
121.128.92.46,450,1721294445.4553301,0.20563006401062012
121.128.92.46,451,1721294445.4888074,0.20534133911132812
121.128.92.46,452,1721294445.5216906,0.2048816680908203
121.128.92.46,453,1721294445.5558128,0.20550084114074707
121.128.92.46,454,1721294445.5886855,0.20480751991271973
121.128.92.46,455,1721294445.6222026,0.20451974868774414
121.128.92.46,456,1721294445.6561728,0.20479965209960938
121.128.92.46,457,1721294445.690654,0.20552301406860352
121.128.92.46,458,1721294445.7240307,0.205122709274292
121.128.92.46,459,1721294445.757052,0.20454883575439453
121.128.92.46,460,1721294445.791475,0.20521306991577148
121.128.92.46,461,1721294445.8328524,0.21282529830932617
121.128.92.46,462,1721294445.8586113,0.20499730110168457
121.128.92.46,463,1721294445.8924706,0.20506858825683594
121.128.92.46,464,1721294445.9260962,0.20493316650390625
121.128.92.46,465,1721294445.9601421,0.20542502403259277
121.128.92.46,466,1721294445.9936676,0.20521759986877441
121.128.92.46,467,1721294446.0270343,0.20479035377502441
121.128.92.46,468,1721294446.0609043,0.20548534393310547
121.128.92.46,469,1721294446.0937407,0.20496273040771484
121.128.92.46,470,1721294446.1282837,0.20564675331115723
121.128.92.46,471,1721294446.1641738,0.2082808017730713
121.128.92.46,472,1721294446.20998,0.22056102752685547
121.128.92.46,473,1721294446.2634313,0.24010229110717773
121.128.92.46,474,1721294446.2639828,0.20698976516723633
121.128.92.46,475,1721294446.2960303,0.2054581642150879
121.128.92.46,476,1721294446.3305507,0.20622563362121582
121.128.92.46,477,1721294446.3741949,0.21659183502197266
121.128.92.46,478,1721294446.3973029,0.20601987838745117
121.128.92.46,479,1721294446.4322283,0.20731425285339355
121.128.92.46,480,1721294446.4669807,0.20834064483642578
121.128.92.46,481,1721294446.4974723,0.2052302360534668
121.128.92.46,482,1721294446.5325217,0.20660781860351562
121.128.92.46,483,1721294446.5703816,0.21062660217285156
121.128.92.46,484,1721294446.5984313,0.20527434349060059
121.128.92.46,485,1721294446.6315832,0.2047131061553955
121.128.92.46,486,1721294446.6659992,0.20537614822387695
121.128.92.46,487,1721294446.699473,0.20528197288513184
121.128.92.46,488,1721294446.7329915,0.20504236221313477
121.128.92.46,489,1721294446.7669504,0.20516538619995117
121.128.92.46,490,1721294446.8008084,0.20557641983032227
121.128.92.46,491,1721294446.834326,0.2052149772644043
121.128.92.46,492,1721294446.8682947,0.20541763305664062
121.128.92.46,493,1721294446.9015746,0.20511460304260254
121.128.92.46,494,1721294446.9350317,0.20521163940429688
121.128.92.46,495,1721294446.9680738,0.20477294921875
121.128.92.46,496,1721294447.0020409,0.20502185821533203
121.128.92.46,497,1721294447.037475,0.2067101001739502
